Товар,Цена,Категория,Краткое описание,Полное описание,Фото,Вес,Длина,Ширина,Высота
Аппаратный кошелёк Tangem Wallet,6 490,Аппаратные кошельки,"""Мультивалютная карта для холодного хранения криптоактивов""","""Tangem Wallet – мультивалютный аппаратный кошелек в виде карты, обеспечивающий безопасное офлайн-хранение цифровых активов, таких как Bitcoin (BTC), Ethereum (ETH), Binance (Coin), Cardano (ADA) и многих других. Карта позволяет хранить более 1000 различных токенов в 13 блокчейнах и предоставляет доступ к DeFi и токенам NFT. Управление кошельком осуществляется с помощью оригинального приложения на устройствах Android и iOS.
 Банкнота Tangem Wallet обеспечивает наивысшую безопасность на рынке: карта содержит чип с сертификатом EAL6+ и стандарт IP68 для максимальной защиты от воздействий окружающей среды. Криптокошелек прошел проверку Kudelski Security. Для доступа к транзакциям в криптокошельке потребуется приватный ключ или seed-фраза, которые генерируется при создании кошелька.
 Одна карта Tangem Wallet не обеспечивает резервное копирование. Для создания бэкапов рассмотрите комплект из 2-х или 3-х карт.""","""https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_1-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_1-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_1-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_1-7-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_1-8-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_1-6-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_1-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/tangem_wallet_3-20-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,0.003,8.56,5.4,0.06
Аппаратный кошелёк Tangem Wallet (2 карты),12 980,Аппаратные кошельки,"""Аппаратный кошелек Tangem с резервной картой""","""Tangem Wallet в комплекте из 2-х карт обеспечивает наивысшую безопасность и резервное копирование аппаратного кошелька одновременно. Первая карта используется для хранения криптовалют, а вторая – чтобы восстановить доступ к средствам из резервной фразы в случае потери или кражи криптокошелька.
 Карта генерирует приватный ключ, никогда не покидающий кошелек. Прошивка криптокошелька проверена компанией Kudelski Security. В банкноту встроен секьюрный чип EAL6+, а IP68 обеспечивает надежную защиту корпуса от любых внешних воздействий. В Tangem Wallet можно хранить более 1000 токенов на 13 блокчейнах.""","""https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_2-7-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_2-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_2-10-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_2-8-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_2-9-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_2-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_2-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/tangem_wallet_3-20-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_2-13-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_2-12-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_2-11-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_2-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_2-6-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_2-5-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,0.003,8.56,5.4,0.06
Аппаратный кошелёк Tangem Wallet (3 карты),16 853,Аппаратные кошельки,"""Аппаратный кошелек Tangem с возможностью бэкапа до двух карт""","""Tangem Wallet – это новинка в индустрии аппаратных кошельков, выпущенная в конце 2021 года! Одна из особенностей – работа со смартфонами на базе iOS и Android через NFC. Это означает, что вы в удобном виде можете видеть баланс ваших монет, получать и отправлять средства.
 На текущий момент кошельки Тангем поддерживают около 1000 монет и токенов на 13 основных блокчейнах и их форках. Интеграция с протоколом Wallet Connect позволяет работать с Defi платформами и NFT токенами.
 Аппаратный кошелек Tangem Wallet имеет возможность резервного копирования – можно установить до двух резервных копий на аналогичных картах. Таким образом, у владельца крипто-активов будет 1 действующая карта и 2 резервные. Резервное копирование выполняется только один раз, при желании этот процесс можно отложить.""","""https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_3-6-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_3-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_3-9-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_3-8-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_3-6.1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_3-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_3-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/tangem_wallet_3-20-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_3-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_3-10-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_3-11-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_3-12-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_3-7-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_wallet_3-5-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,0.003,8.56,5.4,0.06
Аппаратный кошелёк Tangem Note ADA,3 500,Аппаратные кошельки,"""Удобная кошелек-карта для безопасного хранения ADA""","""Tangem Note ADA – безопасная и удобная карта для хранения криптовалюты Cardano. Поддерживает модуль NFC для бесконтактной связи со смартфоном и чип EAL6+, сделанный по высшим стандартам безопасности. Благодаря этому приватный ключ от криптокошелька надежно защищен и никогда не покидает банкноту.
 Карта кошелька Tangem Note ADA сделана по стандарту IP68 и надежно защищена от воздействия окружающей среды. Вы можете хранить и обменивать криптовалюту ADA и другие токены в оригинальном приложении аппаратного кошелька.""","""https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_ada-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_ada-7-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_ada-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/05/tangem_note_ada-9-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_ada-6-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_ada-8-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_ada-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/tangem_wallet_3-20-100x100.jpg, """,0.003,8.56,5.4,0.06
Аппаратный кошелёк Tangem Note XRP,3 500,Аппаратные кошельки,"""Удобная и безопасная карта для холодного хранения XRP""","""Tangem Note XRP – это аппаратный кошелек-карта, сделанный специально для хранения криптовалюты Ripple. Одно из главных преимуществ банкноты – безопасность криптокошелька, которая подтверждена известной компанией Kudelski Security.
 Доступ к токенам и транзакциям осуществляется через мобильное приложение, карта оснащена модулем NFC для бесконтактной связи со смартфоном. Приватный ключ надежно сокрыт внутри карты и защищен чипом EAL6+. Tangem Note XRP послужит отличным подарком для любителей криптовалюты Рипл.""","""https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_xrp-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_xrp-8-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_xrp-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_xrp-6-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_xrp-7-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_xrp-9-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_xrp-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/tangem_wallet_3-20-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_xrp-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_xrp-3-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,0.003,8.56,5.4,0.06
Аппаратный кошелёк Tangem Note BTC,3 500,Аппаратные кошельки,"""Удобная и безопасная Bitcoin-карта с NFC-чипом""","""Tangem Note BTC – это аппаратный кошелек, в котором пользователи могут безопасно хранить криптовалюту Bitcoin. Безопасность банкноты подтверждена аудиторской компанией Kudelski Security. Криптокошелек имеет SE-чип EAL6+, который обеспечивает наилучшую защиту приватного ключа от несанкционированного доступа среди существующих решений на рынке.
 Биткоин-банкнота Tangem Note BTC управляется через мобильное приложение, которое можно загрузить из App Store или Google Play. Для получения доступа к кошельку и совершения транзакций потребуется закрытый ключ или seed-фраза.""","""https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_btc-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_btc-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_btc-6-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_btc-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_btc-7-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_btc-8-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_btc-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/tangem_wallet_3-20-100x100.jpg, """,0.003,8.56,5.4,0.06
Аппаратный кошелёк Tangem Note BNB,3 500,Аппаратные кошельки,"""Удобная и безопасная карта для холодного хранения BNB""","""Аппаратный кошелек Tangem Note BNB сделан для безопасного холодного хранения криптовалюты Binance Coin, выпущенных на блокчейне BSC. BNB выпущена известной компанией Бинанс и это одна из самых распространенных монет, используемых в DeFi-приложениях, к которым пользователи могут получить доступ в приложении Tangem.
 Безопасный чип EAL6+, встроенный в банкноту, будет надежно хранить ваш приватный ключ. Для восстановления доступа и совершения транзакций в приложении понадобится мнемоническая фраза от криптокошелька. Вы можете приобрести карту Tangem Note BNB для личного пользования или в качестве подарка друзьям и близким, которые хотят ознакомиться с криптовалютами.""","""https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_bnb-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_bnb-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_bnb-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_bnb-6-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/05/tangem_note_bnb-8-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_bnb-7-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_bnb-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/tangem_wallet_3-20-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_bnb-2-100x100.jpg, """,0.003,8.56,5.4,0.06
Аппаратный кошелёк Tangem Note DOGE,3 500,Аппаратные кошельки,"""Удобная и безопасная карта для хранения Dogecoin""","""Аппаратный кошелек Tangem Note DOGE сделан по высшим стандартам безопасности, чтобы пользователи могли хранить криптовалюту Dogecoin. Устройство в форме карты снабжено модулем NFC и чипом EAL6+, а также защищено от внешних воздействий в соответствии со стандартом IP68. Приватный ключ безопасно хранится внутри карты и никогда не покидает устройство.
 Банкнота синхронизируется с мобильным приложением при помощи NFC-чипа. Резервная фраза поможет восстановить доступ к транзакциям в Tangem App. Отлично подойдет в качестве подарка тому, кто интересуется криптовалютами. Tangem Note DOGE сделан так, чтобы в нем мог разобраться любой новичок.""","""https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_doge-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_doge-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_doge-6-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_doge-8-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_doge-9-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_doge-7-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_doge-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/tangem_wallet_3-20-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_doge-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_doge-3-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,0.003,8.56,5.4,0.06
Аппаратный кошелёк Tangem Note ETH,3 500,Аппаратные кошельки,"""Удобная и безопасная Ethereum-карта с NFC-чипом""","""Аппаратный кошелек Tangem Note Ethereum создан в виде карты и позволяет безопасно хранить криптовалюту ETH. Среди особенностей банкноты выделяются продвинутая безопасность, обеспеченная за счет чипа EAL6+ и подтвержденная Kudelski Security, а также наилучшая защита от воздействий окружающей среды IP68.
 Приватный ключ не покидает устройство. Если нужно восстановить доступ при потере криптокошелька, воспользуйтесь мнемонической фразой. Чтобы совершать транзакции, скачайте удобное мобильное приложение Tangem. В нем доступно более 100 DeFi-приложений для обмена, фарминга и других задач.""","""https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_eth-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_eth-12-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_eth-11-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_eth-8-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_eth-6-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_eth-10-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_eth-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/tangem_wallet_3-20-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_eth-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_eth-9-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/12/tangem_note_eth-5-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,0.003,8.56,5.4,0.06
Trezor Model T аппаратный кошелек,54 990,Аппаратные кошельки,"""Новая модель Trezor с большим Touch Screen дисплеем и SD-слотом""","""Trezor T – это старшая модель линейки аппаратных кошельков для безопасного хранения криптовалют. Кошелек имеет яркий Touch Screen дисплей, который позволяет работать с ним как на смартфоне. Новый процессор делает его максимально отзывчивым и быстрым. Усовершенствованное программное ядро обеспечивает поддержку большего числа монет.
 Trezor T позволяет подключать micro-SD карту с личными файлами и шифровать их с помощью одного из приватных ключей вашего SEED’а. К кошельку прилагается магнитный держатель, к которому вы можете прикрепить девайс и поместить на любую поверхность.""","""https://cryptonist.ru/wp-content/uploads/2018/11/trezor_t_15-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor_t_hand-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor_t_4-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezort_pack-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/cryptosteel-and-trezor-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor_t_2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor_t_5-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor_t_8-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor_t_10-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezort_screen-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor_t_11-1-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,0.022,6.4,3.9,1
Аппаратный кошелек Trezor One,24 990,Аппаратные кошельки,"""Самый первый в мире аппаратный кошелек для криптовалюты""","""Trezor One – самый безопасный аппаратный кошелек для криптовалюты, разработанный компанией Satoshi Labs.
 Кошелек Trezor позволяет безопасно пользоваться криптовалютой, так как Ваши приватные ключи находятся на устройстве и никогда не покидают его. Вы можете подключать Трезор даже к зараженному компьютеру, так как вся важная информация будет отображаться исключительно на дисплее кошелька, а совершать транзакции вы будете путем нажатия на фронтальные кнопки устройства.""","""https://cryptonist.ru/wp-content/uploads/2018/11/trezor_cver-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor_one_blue-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor_white-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor03-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor-android-100x100.jpeg, https://cryptonist.ru/wp-content/uploads/2018/11/Trezor-and-cryptosteel-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor_black-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor_wh1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor_one_blue_white-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/trezor_one_coffee-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,0.012,6,3,0.6
Кардхолдер для CoolWallet,1 900,Аппаратные кошельки,"""Компактный кардхолдер для защиты аппаратного кошелька CoolWallet S, Pro от RFID и NFC считывания. Футляр выполнен из алюминия с веерным механизмом выдвижения девайса.""","""""","""https://cryptonist.ru/wp-content/uploads/2021/06/coolwallet-cardholder-100x100.jpg, """,,,,
Зарядное устройство для CoolWallet,3 490,Аксессуары,"""Зарядное устройство для Coolwallet Pro, CoolWallet S и Duo. Для зарядки необходимо поместить девайс на стороне с контактами в док-станцию. Соединяется с ПК через micro-USB кабель.
 
Компания Cryptonist рекомендует раз в 1-2 месяца заряжать устройство полностью. Это увеличит срок службы аккумуляторной батареи.""","""""","""https://cryptonist.ru/wp-content/uploads/2021/06/zaradnoe-ustroystvo-coolwallet-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/06/zaradnoe-ustroystvo-coolwallet-01-100x100.jpg, """,,,,
Cryptosteel,10 990,Аксессуары,"""Надежное средство для офлайн хранения приватных ключей, паролей и мнемонических фраз восстановления (SEED). Это механическое устройство, которое служит сейфом для Ваших криптовалютных активов и других паролей.""","""Принцип работы Cryptosteel прост: в комплекте идут 250 выгравированных букв, из которых вы набираете нужный пароль или код и вставляете в устройство. Пользователь может хранить до 96 символов конфиденциальной информации.
 Cryptosteel имеет неоспоримые преимущества перед бумажным носителем:
1. 100% нержавеющая сталь.
2. Несгораемый корпус, выдерживающий 1200 C.
3. Водонепроницаемость (корпус не будет подвержен морскими солями даже на дне океана).
4. Ударопрочность (не поддается физическим воздействиям).""","""https://cryptonist.ru/wp-content/uploads/2018/11/steel-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/Trezor-and-cryptosteel-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/cryptosteel-and-trezor-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/cryptosteel-letter-container-detail-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/cryptosteel-unlocked-with-letters-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/cryptosteel-mnemonic-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/cryptosteel-with-hand-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/Descryption-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/Product-100x100.jpg, """,0.23,10.5,6,0.6
Cryptosteel Capsule (Капсула),8 990,Хранение резервных копий,"""Устройство для хранения Seed, приватных ключей и паролей""","""Cryptosteel Capsule (Капсула) – это лучший инструмент для автономного оффлайн хранения важных данных без участия третьих лиц. Создателями устройства является компания, которая разработала самое известное устройство для хранения мнемонической фразы Cryptosteel. Цельнометаллическое устройство разработано специально для того, чтобы сохранить важную информацию при любых экстремальных условиях.
 Капсула совместима практически с любыми алгоритмами генерации ключей – BIP39 (не сокращенная мнемоническая фраза из 12 слов или сокращения до 4 уникальных букв из 24 слов), Shamir Backup SLIP39 (4-буквенные аббревиатуры фразы из 20 слов), корневые ключи BIP32, WIF закрытые ключи, Monero Seed (4-буквенные аббревиатуры фразы из 25 слов).
 Устройство может хранить любые пароли и прочую важную информацию, состоящую из 123 символов(ASCII).""","""https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-standing-1030x686-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-sliding-tiles-wide-1030x686-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-standing-core-wide-1030x687-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-top-1030x824-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-packaging-1030x822-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-closed-front-1030x687-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-open-1030x686-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-letter-set-1030x635-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/capsule-hand-with-box-and-letters-1030x686-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-opening-1030x824-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-solo-top-1030x824-min-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,,10.2,,
Cryptosteel Capsule DUO (Капсула),15 500,Хранение резервных копий,"""Новая двойная защита мнемонической фразы и паролей в виде двух капсул""","""Cryptosteel Capsule DUO (Капсула) – это самое надежное физическое устройство для хранения вашей мнемонической фразы и паролей. В комплекте два устройства, что открывает больше возможностей защиты ваших приватных ключей. Например, вы можете разделить вашу кодовую фразу и хранить их в разных местах: фразу в одном месте, а пароли с кодовой фразой в другом и т.д.
 Капсула совместима практически с любыми алгоритмами генерации ключей – BIP39 (не сокращенная мнемоническая фраза из 12 слов или сокращения до 4 уникальных букв из 24 слов), Shamir Backup SLIP39 (4-буквенные аббревиатуры фразы из 20 слов), корневые ключи BIP32, WIF закрытые ключи, Monero Seed (4-буквенные аббревиатуры фразы из 25 слов).
 Устройство может хранить любые пароли и прочую важную информацию, состоящую из 123 символов (ASCII).""","""https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-standing-1030x686-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-sliding-tiles-wide-1030x686-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-standing-core-wide-1030x687-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2020/06/0F4A9873-Edit-min_%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-packaging-1030x822-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2020/06/0F4A0859-min-%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2020/06/capsule-sealed-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-opening-1030x824-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2020/06/0F4A9997-min-%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/capsule-hand-with-box-and-letters-1030x686-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-letter-set-1030x635-min-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,,10.2,,
